Link,Tiêu đề,Địa chỉ,Địa chỉ 1,Địa chỉ 2,Mức giá,Giá/m²,Số phòng ngủ,Huyện,Diện tích,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,Latitude,Longitude
https://batdongsan.com.vn/ban-dat-duong-21-1-xa-co-dong-16/ban-at-tai-uong-21-oai-phuong-ha-noi-2-6-ty-dien-tich-thuc-te-68m2-tren-so-47-25m-pr45877788,"Bán đất tại đường 21, xã Đoài Phương, Hà Nội, 2,6 tỷ, diện tích thực tế 68m² (trên sổ 47,25m)","Đường 21, Xã Cổ Đông, Thị xã Sơn Tây, Hà Nội | (Xã Đoài Phương, Hà Nội mới)","Đường 21, Xã Cổ Đông, Thị xã Sơn Tây, Hà Nội","(Xã Đoài Phương, Hà Nội mới)","2,6 tỷ","~55,03 triệu/m²",,Sơn Tây,"47,25 m²","4,5 m","6,5 m",Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,08/06/2026,23/06/2026,Tin VIP Kim Cương,45877788,21.0455428019989,105.50619143653
https://batdongsan.com.vn/ban-dat-duong-tinh-lo-446-xa-phu-cat-1-22/at-nen-o-thi-hoa-lac-vi-tri-vang-on-song-phat-trien-phia-tay-ha-noi-pr45777009,Đất nền đô thị khu Hòa Lạc vị trí vàng đón sóng phát triển phía Tây Hà Nội,"Đường Tỉnh Lộ 446, Xã Phú Cát, Huyện Quốc Oai, Hà Nội | (Xã Phú Cát, Hà Nội mới)","Đường Tỉnh Lộ 446, Xã Phú Cát, Huyện Quốc Oai, Hà Nội","(Xã Phú Cát, Hà Nội mới)","3,8 tỷ",~38 triệu/m²,,Quốc Oai,100 m²,"6,8 m",,,,,,Sổ đỏ/ Sổ hồng,31/05/2026,15/06/2026,Tin VIP Kim Cương,45777009,20.9716596948748,105.553367749992
https://batdongsan.com.vn/ban-dat-xa-phuong-son_1/toi-cc-ban-o-at-vuong-ep-nhu-phan-lo-tai-thon-ba-nha-yen-son-nay-la-son-oto-vao-nha-pr45367770,"Tôi bán gấp ô đất vuông như phân lô tại Thôn Ba Nhà, Yên Sơn, nay là Phượng Sơn, ôtô vào nhà","Thôn Ba Nhà, Xã Phượng Sơn, Huyện Quốc Oai, Hà Nội | (Xã Quốc Oai, Hà Nội mới)","Thôn Ba Nhà, Xã Phượng Sơn, Huyện Quốc Oai, Hà Nội","(Xã Quốc Oai, Hà Nội mới)","39,5 triệu/m²","~4,74 tỷ",,Quốc Oai,120 m²,"5,5 m",,Nam,,,,Sổ đỏ/ Sổ hồng,03/06/2026,18/06/2026,Tin VIP Vàng,45367770,20.9898284208873,105.665661637292
https://batdongsan.com.vn/ban-dat-duong-tu-hiep-xa-tu-hiep-13/ban-lo-at-70m2-hang-xom-truc-song-hong-pr45836559,"Bán lô đất 70m2, hàng xóm trục sông Hồng","Số 2, làng Đồng Trì, đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội | (Xã Thanh Trì, Hà Nội mới)","Số 2, làng Đồng Trì, đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội","(Xã Thanh Trì, Hà Nội mới)",120 triệu/m²,"~8,4 tỷ",,Thanh Trì,70 m²,"4,3 m",7 m,Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,13/06/2026,23/06/2026,Tin VIP Vàng,45836559,20.9416158609878,105.862041993409
https://batdongsan.com.vn/ban-dat-duong-hoa-thach-xa-hoa-thach-22/ban-tai-phu-cat-quoc-oai-ha-noi-chi-tu-2-4-ty-100m2-pr44917889,"Bán đất tại (Hòa Thạch), xã Phú Cát, Quốc Oai, Hà Nội, chỉ 2,5 tỷ, 103.7m2 0977 514 ***","Đường Hoà Thạch, Xã Hòa Thạch, Huyện Quốc Oai, Hà Nội | (Xã Phú Cát, Hà Nội mới)","Đường Hoà Thạch, Xã Hòa Thạch, Huyện Quốc Oai, Hà Nội","(Xã Phú Cát, Hà Nội mới)","2,5 tỷ","~24,11 triệu/m²",,Quốc Oai,"103,7 m²",5 m,6 m,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,12/06/2026,22/06/2026,Tin VIP Vàng,44917889,20.9475731068811,105.564637767197
https://batdongsan.com.vn/ban-dat-xa-phu-cat-1/ban-nhanh-100m2-gan-chung-cu-phenika-va-chung-cu-legacy-hinori-hoa-lac-pr45888804,Bán nhanh 115.7m2 Phú Cát gần chung cư Phenika và chung cư Legacy Hinori Hoà Lạc,"Xã Phú Cát, Huyện Quốc Oai, Hà Nội | (Xã Phú Cát, Hà Nội mới)","Xã Phú Cát, Huyện Quốc Oai, Hà Nội","(Xã Phú Cát, Hà Nội mới)","3,1 tỷ","~26,79 triệu/m²",,Quốc Oai,"115,7 m²",6 m,7 m,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,10/06/2026,17/06/2026,Tin VIP Vàng,45888804,20.9744031114206,105.552750720103
https://batdongsan.com.vn/ban-dat-xa-binh-yen-1/dong-tien-900-tr-ban-gap-lo-at-truc-chinh-tai-hoa-lac-sat-h-fpt-hv-tai-chinh-xay-ccmn-inh-pr45883122,"Dòng tiền 900 tr! Bán gấp lô đất trục chính tại Hòa Lạc, sát ĐH FPT, HV tài chính, xây CCMN đỉnh","Xã Bình Yên, Huyện Thạch Thất, Hà Nội | (Xã Hòa Lạc, Hà Nội mới)","Xã Bình Yên, Huyện Thạch Thất, Hà Nội","(Xã Hòa Lạc, Hà Nội mới)","2,5 tỷ","~24,9 triệu/m²",,Thạch Thất,"100,4 m²",,7 m,,,,,Sổ đỏ/ Sổ hồng,09/06/2026,16/06/2026,Tin VIP Vàng,45883122,21.0399739187039,105.539640291915
https://batdongsan.com.vn/ban-dat-xa-van-canh-1/quy-hang-moi-nhat-thang-6-dv-khu-4-5ha-6-9ha-25ha-sieu-dep-dt-tu-42m2-125m2-pr43476712,"Quỹ hàng mới nhất 2026 đất DV Vân Canh khu 4.5ha - 6.9ha - 25ha siêu đẹp, DT từ 42m2 - 125m2","Xã Vân Canh, Huyện Hoài Đức, Hà Nội | (Xã Sơn Đồng, Hà Nội mới)","Xã Vân Canh, Huyện Hoài Đức, Hà Nội","(Xã Sơn Đồng, Hà Nội mới)",Thỏa thuận,,,Hoài Đức,50 m²,5 m,,,,,,,14/06/2026,21/06/2026,Tin VIP Vàng,43476712,21.0305917376463,105.732182197161
https://batdongsan.com.vn/ban-dat-duong-tu-hiep-xa-tu-hiep-13/ban-lo-at-70m2-hang-xom-truc-song-hong-pr45836559,"Bán lô đất 70m2, hàng xóm trục sông Hồng","Số 2, làng Đồng Trì, đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội | (Xã Thanh Trì, Hà Nội mới)","Số 2, làng Đồng Trì, đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội","(Xã Thanh Trì, Hà Nội mới)",120 triệu/m²,"~8,4 tỷ",,Thanh Trì,70 m²,"4,3 m",7 m,Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,13/06/2026,23/06/2026,Tin VIP Vàng,45836559,20.9416158609878,105.862041993409
https://batdongsan.com.vn/ban-nha-rieng-pho-chua-lang-phuong-thinh-quang-3/ban-gap-tai-12-ty-46m2-7pn-4wc-pr45907400,"Bán gấp Nhà riêng tại Phố Chùa Láng, 12 tỷ, 46m², 7PN, 4WC","Phố Chùa Láng, Phường Thịnh Quang, Quận Đống Đa, Hà Nội | (Phường Đống Đa, Hà Nội mới)","Phố Chùa Láng, Phường Thịnh Quang, Quận Đống Đa, Hà Nội","(Phường Đống Đa, Hà Nội mới)",12 tỷ,"~260,87 triệu/m²",7 phòng,Đống Đa,46 m²,15 m,3 m,,,4 tầng,,Sổ đỏ/ Sổ hồng,14/06/2026,21/06/2026,Tin VIP Vàng,45907400,21.0235945984325,105.80518073919
https://batdongsan.com.vn/ban-dat-duong-hoa-thach-xa-hoa-thach-22/ban-tai-phu-cat-quoc-oai-ha-noi-chi-tu-2-4-ty-100m2-pr44917889,"Bán đất tại (Hòa Thạch), xã Phú Cát, Quốc Oai, Hà Nội, chỉ 2,5 tỷ, 103.7m2 0977 514 ***","Đường Hoà Thạch, Xã Hòa Thạch, Huyện Quốc Oai, Hà Nội | (Xã Phú Cát, Hà Nội mới)","Đường Hoà Thạch, Xã Hòa Thạch, Huyện Quốc Oai, Hà Nội","(Xã Phú Cát, Hà Nội mới)","2,5 tỷ","~24,11 triệu/m²",,Quốc Oai,"103,7 m²",5 m,6 m,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,12/06/2026,22/06/2026,Tin VIP Vàng,44917889,20.9475731068811,105.564637767197
https://batdongsan.com.vn/ban-nha-rieng-phuong-thuy-phuong_2/ban-thuong-cat-bac-tu-liem-ngo-o-to-chay-thoai-mai-sat-truc-uong-21m-pr45841076,"Bán nhà 3 tầng cạnh Đại Học Tài Chính, ngõ ô tô chạy thoải mái, sát trục đường 21m","Phường Thụy Phương, Quận Bắc Từ Liêm, Hà Nội | (Phường Thượng Cát, Hà Nội mới)","Phường Thụy Phương, Quận Bắc Từ Liêm, Hà Nội","(Phường Thượng Cát, Hà Nội mới)",8 tỷ,"~133,33 triệu/m²",4 phòng,Bắc Từ Liêm,60 m²,"4,7 m",,,,3 tầng,,Sổ đỏ,02/06/2026,17/06/2026,Tin VIP Vàng,45841076,21.0844467403553,105.77035484331
https://batdongsan.com.vn/ban-dat-xa-co-dong/can-ban-gap-manh-at-trong-mot-ngay-gia-1-9-ty-dien-tich-68m2-so-o-ha-noi-lh-pr45337817,"Giảm hẳn 2,5 tỷ diện tích 125m sổ đỏ Hà Nội LH 0976 965 ***.","Xã Cổ Đông, Thị xã Sơn Tây, Hà Nội | (Xã Hòa Lạc, Hà Nội mới)","Xã Cổ Đông, Thị xã Sơn Tây, Hà Nội","(Xã Hòa Lạc, Hà Nội mới)","2,5 tỷ",~20 triệu/m²,,Sơn Tây,125 m²,,7 m,,,,,Sổ đỏ/ Sổ hồng,13/06/2026,20/06/2026,Tin VIP Vàng,45337817,21.0594642405368,105.51589889134
https://batdongsan.com.vn/ban-nha-rieng-phuong-my-dinh-1/ban-toa-dong-tien-9-tang-thang-may-48-phong-khep-kin-doanh-thu-250tr-th-pr45906545,BÁN TOÀ NHÀ DÒNG TIỀN - 9 TẦNG THANG MÁY - 48 PHÒNG KHÉP KÍN - DOANH THU 250tr/th,"Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội | (Phường Từ Liêm, Hà Nội mới)","Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","(Phường Từ Liêm, Hà Nội mới)",56 tỷ,"~373,33 triệu/m²",,Nam Từ Liêm,150 m²,,,,,,,,13/06/2026,20/06/2026,Tin VIP Vàng,45906545,21.020867130014,105.768651236746
https://batdongsan.com.vn/ban-dat-thi-tran-xuan-mai-1/re-nhat-khu-vuc-on-au-quy-hoach-tam-nhin-100-nam-vanh-ai-5-at-chuong-my-89m2-chi-1-x-ti-pr45894262,"RẺ NHẤT KHU VỰC, ĐÓN ĐẦU QUY HOẠCH TẦM NHÌN 100 NĂM, VÀNH ĐAI 5,... ĐẤT CHƯƠNG MỸ-89m2 CHỈ 1,x TỈ","Thị trấn Xuân Mai, Huyện Chương Mỹ, Hà Nội | (Xã Xuân Mai, Hà Nội mới)","Thị trấn Xuân Mai, Huyện Chương Mỹ, Hà Nội","(Xã Xuân Mai, Hà Nội mới)","1,68 tỷ","~18,88 triệu/m²",,Chương Mỹ,89 m²,6 m,6 m,,,,,Sổ đỏ/ Sổ hồng,13/06/2026,20/06/2026,Tin VIP Vàng,45894262,20.899057687548325,105.58360019579119
https://batdongsan.com.vn/ban-nha-rieng-duong-ho-tung-mau-phuong-mai-dich-7/chinh-chu-toi-can-ban-gap-40m2-6-phong-ngu-tai-ngo-20-mau-pr44911210,CHÍNH CHỦ TÔI CẦN BÁN GẤP NHÀ 40m2 - 6 PHÒNG NGỦ - tại NGÕ 20 HỒ TÙNG MẬU,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội | (Phường Phú Diễn, Hà Nội mới)","Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","(Phường Phú Diễn, Hà Nội mới)","10,8 tỷ","~291,89 triệu/m²",,Cầu Giấy,37 m²,,,,,,,,13/06/2026,20/06/2026,Tin VIP Vàng,44911210,21.0380915998185,105.774121713406
https://batdongsan.com.vn/ban-dat-xa-phu-cat-1/ban-nhanh-100m2-gan-chung-cu-phenika-va-chung-cu-legacy-hinori-hoa-lac-pr45888804,Bán nhanh 115.7m2 Phú Cát gần chung cư Phenika và chung cư Legacy Hinori Hoà Lạc,"Xã Phú Cát, Huyện Quốc Oai, Hà Nội | (Xã Phú Cát, Hà Nội mới)","Xã Phú Cát, Huyện Quốc Oai, Hà Nội","(Xã Phú Cát, Hà Nội mới)","3,1 tỷ","~26,79 triệu/m²",,Quốc Oai,"115,7 m²",6 m,7 m,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,10/06/2026,17/06/2026,Tin VIP Vàng,45888804,20.9744031114206,105.552750720103
https://batdongsan.com.vn/ban-dat-xa-van-canh-1/tong-hop-quy-hang-moi-nhat-khu-dich-vu-25ha-4-5ha-mat-duong-vd-3-5-tu-40m2-160m2-pr44244701,"Tổng hợp quỹ hàng mới nhất khu đất Dv Vân Canh 4,5ha-6,9ha-25ha mặt đường VĐ 3.5 từ 50m2-150m2","Xã Vân Canh, Huyện Hoài Đức, Hà Nội | (Xã Sơn Đồng, Hà Nội mới)","Xã Vân Canh, Huyện Hoài Đức, Hà Nội","(Xã Sơn Đồng, Hà Nội mới)",Thỏa thuận,,,Hoài Đức,50 m²,5 m,16 m,Nam,,,,Sổ đỏ/ Sổ hồng,13/06/2026,28/06/2026,Tin VIP Vàng,44244701,21.0301053569623,105.732378139906
https://batdongsan.com.vn/ban-dat-xa-phu-cat-1/giam-con-3-ty-100m2-full-tho-cu-at-2-mat-tien-uoc-gia-chot-nhanh-lh-pr45904591,Giảm còn 2 tỷ 500 triệu lô đất 100m² full thổ cư đất 2 mặt tiền được giá chốt nhanh LH 0976 965 ***.,"Xã Phú Cát, Huyện Quốc Oai, Hà Nội | (Xã Phú Cát, Hà Nội mới)","Xã Phú Cát, Huyện Quốc Oai, Hà Nội","(Xã Phú Cát, Hà Nội mới)","2,5 tỷ",~25 triệu/m²,,Quốc Oai,100 m²,,10 m,,,,,Sổ đỏ/ Sổ hồng,13/06/2026,20/06/2026,Tin VIP Vàng,45904591,20.9746044594018,105.552380147496
https://batdongsan.com.vn/ban-dat-xa-kim-duc_1/ban-nhanh-lo-at-lan-bat-trang-ha-noi-o-to-e-truoc-cua-pr45262061,"BÁN NHANH LÔ ĐẤT KIM LAN - BÁT TRÀNG HÀ NỘI, Ô TÔ ĐỂ TRƯỚC CỬA","Xã Kim Đức, Huyện Gia Lâm, Hà Nội | (Xã Bát Tràng, Hà Nội mới)","Xã Kim Đức, Huyện Gia Lâm, Hà Nội","(Xã Bát Tràng, Hà Nội mới)","4,3 tỷ","~51,19 triệu/m²",,Gia Lâm,84 m²,"6,5 m",5 m,,,,,Sổ đỏ/ Sổ hồng,13/06/2026,20/06/2026,Tin VIP Vàng,45262061,20.9619312140512,105.905907558091
https://batdongsan.com.vn/ban-dat-xa-van-canh-1/e-luan-tong-hop-cac-lo-at-ep-chu-can-ban-gia-tot-dien-tich-tu-50-100m2-o-khu-at-dv-canh-pr45703348,"E Luân tổng hợp các lô đất đẹp, chủ cần bán giá tốt, diện tích từ 50 - 100m2 ở khu đất DV Vân Canh","Xã Vân Canh, Huyện Hoài Đức, Hà Nội | (Xã Sơn Đồng, Hà Nội mới)","Xã Vân Canh, Huyện Hoài Đức, Hà Nội","(Xã Sơn Đồng, Hà Nội mới)",Thỏa thuận,,,Hoài Đức,50 m²,5 m,11 m,Nam,,,,Sổ đỏ/ Sổ hồng,13/06/2026,20/06/2026,Tin VIP Vàng,45703348,21.02885999546884,105.73288918704041
https://batdongsan.com.vn/ban-dat-duong-gia-thuong-phuong-ngoc-thuy-9/at-mat-ho-hiem-bo-e-thoang-mat-quanh-nam-mat-tien-be-the-no-hau-khong-quy-hoach-pr45903143,"ĐẤT MẶT HỒ - HIẾM| BỒ ĐỀ, NGỌC THỤY| THOÁNG MÁT QUANH NĂM, MẶT TIỀN BỀ THẾ, NỞ HẬU, KHÔNG QUY HOẠCH","Đường Gia Thượng, Phường Ngọc Thụy, Quận Long Biên, Hà Nội | (Phường Bồ Đề, Hà Nội mới)","Đường Gia Thượng, Phường Ngọc Thụy, Quận Long Biên, Hà Nội","(Phường Bồ Đề, Hà Nội mới)",37 tỷ,"~284,62 triệu/m²",,Long Biên,130 m²,"6,5 m",12 m,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,12/06/2026,27/06/2026,Tin VIP Vàng,45903143,21.0590045780879,105.868192089099
https://batdongsan.com.vn/ban-dat-duong-vo-nguyen-giap-xa-tien-duoc-12/duy-nhat-755m-sieu-pham-vi-tri-vang-kinh-doanh-mat-uong-tai-soc-son-thuc-te-sd-900-pr45156094,Duy nhất 755m siêu phẩm vị trí Vàng kinh doanh mặt đường Võ Nguyên Giap tại Sóc Sơn. Thực tế sd 900,"Mặt đường Võ Nguyên Giáp, Đường Võ Nguyên Giáp, Xã Tiên Dược, Huyện Sóc Sơn, Hà Nội | (Xã Sóc Sơn, Hà Nội mới)","Mặt đường Võ Nguyên Giáp, Đường Võ Nguyên Giáp, Xã Tiên Dược, Huyện Sóc Sơn, Hà Nội","(Xã Sóc Sơn, Hà Nội mới)",43 tỷ,"~56,95 triệu/m²",,Sóc Sơn,755 m²,19 m,50 m,,,,,Sổ đỏ/ Sổ hồng,12/06/2026,19/06/2026,Tin VIP Vàng,45156094,21.1887918546495,105.831907880304
https://batdongsan.com.vn/ban-dat-xa-binh-yen-1/dong-tien-900-tr-ban-gap-lo-at-truc-chinh-tai-hoa-lac-sat-h-fpt-hv-tai-chinh-xay-ccmn-inh-pr45883122,"Dòng tiền 900 tr! Bán gấp lô đất trục chính tại Hòa Lạc, sát ĐH FPT, HV tài chính, xây CCMN đỉnh","Xã Bình Yên, Huyện Thạch Thất, Hà Nội | (Xã Hòa Lạc, Hà Nội mới)","Xã Bình Yên, Huyện Thạch Thất, Hà Nội","(Xã Hòa Lạc, Hà Nội mới)","2,5 tỷ","~24,9 triệu/m²",,Thạch Thất,"100,4 m²",,7 m,,,,,Sổ đỏ/ Sổ hồng,09/06/2026,16/06/2026,Tin VIP Vàng,45883122,21.0399739187039,105.539640291915
https://batdongsan.com.vn/ban-dat-duong-tinh-lo-419-xa-tan-xa-23/sieu-pham-111m2-full-tho-cu-xay-tro-kinh-doanh-luon-cach-ai-hoc-fpt-cnc-ga-metro-chi-3ph-pr45874150,"Siêu phẩm 111m² full thổ cư. Xây trọ kinh doanh luôn, cách đại học FPT, CNC, ga Metro chỉ 3ph","Đường Tỉnh lộ 419, Xã Tân Xã, Huyện Thạch Thất, Hà Nội | (Xã Hòa Lạc, Hà Nội mới)","Đường Tỉnh lộ 419, Xã Tân Xã, Huyện Thạch Thất, Hà Nội","(Xã Hòa Lạc, Hà Nội mới)","2,98 tỷ","~26,85 triệu/m²",,Thạch Thất,111 m²,,,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,08/06/2026,18/06/2026,Tin VIP Vàng,45874150,21.04937420604,105.58309673973
https://batdongsan.com.vn/ban-dat-xa-tan-xa/ban-gap-152m2-manh-at-vang-mat-ho-noi-quy-tu-moi-nhan-tai-cua-at-nuoc-chi-25-ty-bao-so-o-pr45895853,Bán gấp 151m2 mảnh đất vàng mặt hồ Tân Xã nơi quy tụ mọi nhân tài của đất nước chỉ 25 tỷ bao sổ đỏ,"Xã Tân Xã, Huyện Thạch Thất, Hà Nội | (Xã Hòa Lạc, Hà Nội mới)","Xã Tân Xã, Huyện Thạch Thất, Hà Nội","(Xã Hòa Lạc, Hà Nội mới)",25 tỷ,"~165,56 triệu/m²",,Thạch Thất,151 m²,,30 m,,,,,Sổ đỏ/ Sổ hồng,11/06/2026,18/06/2026,Tin VIP Kim Cương,45895853,21.0194789854341,105.545056806069
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-liet-phuong-hoang-liet-8/cc-ban-50m2-oto-7-cho-vao-kinh-doanh-inh-thanh-may-linh-am-ha-noi-pr45683137,Chính Chủ Bán Nhà Linh Đàm- 50m-Oto 7 Chỗ Vào Nhà-Kinh Doanh Đỉnh-Thang Máy-Hoàng Liệt-Hà Nội.,"Đường Hoàng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội | (Phường Hoàng Liệt, Hà Nội mới)","Đường Hoàng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội","(Phường Hoàng Liệt, Hà Nội mới)",13 tỷ,~260 triệu/m²,4 phòng,Hoàng Mai,50 m²,5 m,5 m,,,,,Sổ đỏ/ Sổ hồng,12/06/2026,19/06/2026,Tin VIP Kim Cương,45683137,20.9664207978094,105.837514973467
https://batdongsan.com.vn/ban-dat-xa-xuan-son-5/ban-at-100m2-gia-1-7-ty-tai-truc-chinh-son-tay-ha-noi-l-h-pr45893211,"Bán đất 100m2, giá 1,7 tỷ tại trục chính Xuân Sơn, Sơn Tây, Hà Nội. L/H 0967 821 ***","Xã Xuân Sơn, Thị xã Sơn Tây, Hà Nội | (Phường Tùng Thiện, Hà Nội mới)","Xã Xuân Sơn, Thị xã Sơn Tây, Hà Nội","(Phường Tùng Thiện, Hà Nội mới)","1,7 tỷ",~17 triệu/m²,,Sơn Tây,100 m²,6 m,8 m,,,,,Sổ đỏ/ Sổ hồng,11/06/2026,21/06/2026,Tin VIP Kim Cương,45893211,21.1432882111943,105.429613728734
https://batdongsan.com.vn/ban-dat-duong-21-1-xa-co-dong-16/ban-at-tai-uong-21-oai-phuong-ha-noi-2-6-ty-dien-tich-thuc-te-68m2-tren-so-47-25m-pr45877788,"Bán đất tại đường 21, xã Đoài Phương, Hà Nội, 2,6 tỷ, diện tích thực tế 68m² (trên sổ 47,25m)","Đường 21, Xã Cổ Đông, Thị xã Sơn Tây, Hà Nội | (Xã Đoài Phương, Hà Nội mới)","Đường 21, Xã Cổ Đông, Thị xã Sơn Tây, Hà Nội","(Xã Đoài Phương, Hà Nội mới)","2,6 tỷ","~55,03 triệu/m²",,Sơn Tây,"47,25 m²","4,5 m","6,5 m",Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,08/06/2026,23/06/2026,Tin VIP Kim Cương,45877788,21.0455428019989,105.50619143653
https://batdongsan.com.vn/ban-nha-rieng-duong-ho-tung-mau-phuong-cau-dien-14/toi-can-ban-gap-10-7-ty-gia-thuong-luong-5t-37-39m2-lam-viec-chinh-chu-pr45876752,"Tôi cần bán gấp nhà Hồ Tùng Mậu 10,7 tỷ giá thương lượng 5T 37/39m² làm việc chính chủ","Ngõ 20 Hồ Tùng Mậu, Đường Hồ Tùng Mậu, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội | (Phường Từ Liêm, Hà Nội mới)","Ngõ 20 Hồ Tùng Mậu, Đường Hồ Tùng Mậu, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội","(Phường Từ Liêm, Hà Nội mới)","10,7 tỷ","~289,19 triệu/m²",6 phòng,Nam Từ Liêm,37 m²,,,,,5 tầng,,,08/06/2026,15/06/2026,Tin VIP Kim Cương,45876752,21.0395001757874,105.769525503689
https://batdongsan.com.vn/ban-dat-duong-tinh-lo-446-xa-phu-cat-1-22/at-nen-o-thi-hoa-lac-vi-tri-vang-on-song-phat-trien-phia-tay-ha-noi-pr45777009,Đất nền đô thị khu Hòa Lạc vị trí vàng đón sóng phát triển phía Tây Hà Nội,"Đường Tỉnh Lộ 446, Xã Phú Cát, Huyện Quốc Oai, Hà Nội | (Xã Phú Cát, Hà Nội mới)","Đường Tỉnh Lộ 446, Xã Phú Cát, Huyện Quốc Oai, Hà Nội","(Xã Phú Cát, Hà Nội mới)","3,8 tỷ",~38 triệu/m²,,Quốc Oai,100 m²,"6,8 m",,,,,,Sổ đỏ/ Sổ hồng,31/05/2026,15/06/2026,Tin VIP Kim Cương,45777009,20.9716596948748,105.553367749992
https://batdongsan.com.vn/ban-dat-xa-phuong-son_1/toi-cc-ban-o-at-vuong-ep-nhu-phan-lo-tai-thon-ba-nha-yen-son-nay-la-son-oto-vao-nha-pr45367770,"Tôi bán gấp ô đất vuông như phân lô tại Thôn Ba Nhà, Yên Sơn, nay là Phượng Sơn, ôtô vào nhà","Thôn Ba Nhà, Xã Phượng Sơn, Huyện Quốc Oai, Hà Nội | (Xã Quốc Oai, Hà Nội mới)","Thôn Ba Nhà, Xã Phượng Sơn, Huyện Quốc Oai, Hà Nội","(Xã Quốc Oai, Hà Nội mới)","39,5 triệu/m²","~4,74 tỷ",,Quốc Oai,120 m²,"5,5 m",,Nam,,,,Sổ đỏ/ Sổ hồng,03/06/2026,18/06/2026,Tin VIP Vàng,45367770,20.9898284208873,105.665661637292
https://batdongsan.com.vn/ban-dat-xa-co-dong/can-ban-gap-manh-at-trong-mot-ngay-gia-1-9-ty-dien-tich-68m2-so-o-ha-noi-lh-pr45337817,"Giảm hẳn 2,5 tỷ diện tích 125m sổ đỏ Hà Nội LH 0976 965 ***.","Xã Cổ Đông, Thị xã Sơn Tây, Hà Nội | (Xã Hòa Lạc, Hà Nội mới)","Xã Cổ Đông, Thị xã Sơn Tây, Hà Nội","(Xã Hòa Lạc, Hà Nội mới)","2,5 tỷ",~20 triệu/m²,,Sơn Tây,125 m²,,7 m,,,,,Sổ đỏ/ Sổ hồng,13/06/2026,20/06/2026,Tin VIP Vàng,45337817,21.0594642405368,105.51589889134
https://batdongsan.com.vn/ban-dat-xa-phu-cat-1/ban-nhanh-100m2-gan-chung-cu-phenika-va-chung-cu-legacy-hinori-hoa-lac-pr45888804,Bán nhanh 115.7m2 Phú Cát gần chung cư Phenika và chung cư Legacy Hinori Hoà Lạc,"Xã Phú Cát, Huyện Quốc Oai, Hà Nội | (Xã Phú Cát, Hà Nội mới)","Xã Phú Cát, Huyện Quốc Oai, Hà Nội","(Xã Phú Cát, Hà Nội mới)","3,1 tỷ","~26,79 triệu/m²",,Quốc Oai,"115,7 m²",6 m,7 m,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,10/06/2026,17/06/2026,Tin VIP Vàng,45888804,20.9744031114206,105.552750720103
https://batdongsan.com.vn/ban-dat-xa-bac-son-16/chinh-chu-ban-manh-dep-512m-duong-thong-o-to-tranh-phu-hop-lam-nha-vuon-hoac-dau-tu-pr44817247,"Chính chủ bán mảnh đất đẹp 512,5m² đường thông ô tô tránh phù hợp làm nhà vườn hoặc đầu tư","Xã Bắc Sơn, Huyện Sóc Sơn, Hà Nội | (Xã Trung Giã, Hà Nội mới)","Xã Bắc Sơn, Huyện Sóc Sơn, Hà Nội","(Xã Trung Giã, Hà Nội mới)","3,2 tỷ","~6,24 triệu/m²",,Sóc Sơn,"512,5 m²",15 m,"4,5 m",,,,,Sổ đỏ/ Sổ hồng.,12/06/2026,27/06/2026,Tin VIP Vàng,44817247,21.361569000988,105.825076910875
